Driver_ID,Name,Degree,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality
140,Johansson,1,0.0011627906976744186,0.0,0.0014639056653119947
159,Pérez-Sala,1,0.0011627906976744186,0.0,0.0003069496505793022
179,Rothengatter,1,0.0011627906976744186,0.0,0.0006406991823457682
142,Chaves,1,0.0011627906976744186,0.0,0.0003069496505793022
145,Nannini,1,0.0011627906976744186,0.0,0.0002756035834601326
168,Schlesser,1,0.0011627906976744186,0.0,0.007483034993480934
648,Kling,0,0.0,0.0,1.7191547804409983e-18
651,Macklin,0,0.0,0.0,1.7191547804409983e-18
635,Chapman,0,0.0,0.0,1.7191547804409983e-18
636,Titterington,0,0.0,0.0,1.7191547804409983e-18
650,Pollet,0,0.0,0.0,1.7191547804409983e-18
637,Scott Brown,0,0.0,0.0,1.7191547804409983e-18
638,Volonterio,0,0.0,0.0,1.7191547804409983e-18
649,Birger,0,0.0,0.0,1.7191547804409983e-18
646,Iglesias,0,0.0,0.0,1.7191547804409983e-18
647,Ascari,0,0.0,0.0,1.7191547804409983e-18
633,Villoresi,0,0.0,0.0,1.7191547804409983e-18
639,Milhoux,0,0.0,0.0,1.7191547804409983e-18
645,Bucci,0,0.0,0.0,1.7191547804409983e-18
644,Mantovani,0,0.0,0.0,1.7191547804409983e-18
643,Mieres,0,0.0,0.0,1.7191547804409983e-18
642,Farina,0,0.0,0.0,1.7191547804409983e-18
640,de Graffenried,0,0.0,0.0,1.7191547804409983e-18
641,Taruffi,0,0.0,0.0,1.7191547804409983e-18
634,Scotti,0,0.0,0.0,1.7191547804409983e-18
627,Rosier,0,0.0,0.0,1.7191547804409983e-18
632,Frère,0,0.0,0.0,1.7191547804409983e-18
631,Andrews,0,0.0,0.0,1.7191547804409983e-18
615,Agabashian,0,0.0,0.0,1.7191547804409983e-18
616,George,0,0.0,0.0,1.7191547804409983e-18
617,MacDowel,0,0.0,0.0,1.7191547804409983e-18
618,MacKay-Fraser,0,0.0,0.0,1.7191547804409983e-18
619,Gerard,0,0.0,0.0,1.7191547804409983e-18
620,Maglioli,0,0.0,0.0,1.7191547804409983e-18
